id	choice	smarttv1	smarttv2	smarttv3	s_screen1	s_screen2	s_screen3	threed1	threed2	threed3	s_price1	s_price2	s_price3
5	4	0	1	1	30	40	50	1	0	0	500	400	600
5	2	0	1	1	30	50	40	1	1	0	400	500	600
5	3	0	1	0	40	30	50	0	1	0	400	600	500
5	3	1	0	0	30	40	50	0	1	0	600	500	400
6	3	1	0	0	30	40	50	1	0	0	400	600	500
6	1	0	1	1	50	30	40	1	0	0	400	600	500
6	3	0	1	0	30	40	50	1	0	1	400	500	600
6	3	1	0	1	30	40	50	0	1	1	500	400	600
6	2	1	0	1	40	50	30	1	0	1	400	600	500
6	3	0	0	1	40	30	50	0	0	1	600	500	400
6	3	0	1	0	30	40	50	0	1	0	500	600	400
6	2	0	1	0	30	50	40	1	0	0	600	400	500
6	3	0	1	1	30	40	50	1	0	0	500	400	600
6	2	0	1	1	30	50	40	1	1	0	400	500	600
6	3	0	1	0	40	30	50	0	1	0	400	600	500
6	3	1	0	0	30	40	50	0	1	0	600	500	400
7	3	1	0	0	30	40	50	1	0	0	400	600	500
7	1	0	1	1	50	30	40	1	0	0	400	600	500
7	3	0	1	0	30	40	50	1	0	1	400	500	600
7	2	1	0	1	30	40	50	0	1	1	500	400	600
7	1	1	0	1	40	50	30	1	0	1	400	600	500
7	3	0	0	1	40	30	50	0	0	1	600	500	400
7	3	0	1	0	30	40	50	0	1	0	500	600	400
7	2	0	1	0	30	50	40	1	0	0	600	400	500
7	2	0	1	1	30	40	50	1	0	0	500	400	600
7	2	0	1	1	30	50	40	1	1	0	400	500	600
7	3	0	1	0	40	30	50	0	1	0	400	600	500
7	3	1	0	0	30	40	50	0	1	0	600	500	400
8	4	1	0	0	30	40	50	1	0	0	400	600	500
8	1	0	1	1	50	30	40	1	0	0	400	600	500
8	4	0	1	0	30	40	50	1	0	1	400	500	600
8	2	1	0	1	30	40	50	0	1	1	500	400	600
8	1	1	0	1	40	50	30	1	0	1	400	600	500
8	3	0	0	1	40	30	50	0	0	1	600	500	400
